first_seen_at,title,channel,url,published_at,first_seen_views,first_seen_velocity,peak_velocity,peak_views,last_seen_at,last_views
2026-07-01T04:07:41Z,Душим колбасную гидру! Бесплатные деньги с храма | Path of Exile 2 | madarapoe,madarapoe,https://www.youtube.com/watch?v=CRODoP9ABl0,2026-06-30T06:30:11Z,5291,244.67,244.67,5291,2026-07-01T04:07:41Z,5291
2026-07-01T04:07:41Z,【Path of Exile 2】アンアースとゾンビ蘇生でせん妄200%に勝ちたい【ジェムリングリージョネア】【PoE2】,ゲーミングナマケモノ,https://www.youtube.com/watch?v=sKyUgd2nyzw,2026-06-30T08:00:18Z,5105,253.69,253.69,5105,2026-07-01T04:07:41Z,5105
2026-07-01T04:07:41Z,"This BROKEN New Item Changes ""Crafting"" in Path of Exile 2 FOREVER ... | Orb of Sacrifice POE2",EODGamerz,https://www.youtube.com/watch?v=0SRKipVVimo,2026-06-30T12:00:08Z,4138,256.6,256.6,4138,2026-07-01T04:07:41Z,4138
2026-07-01T04:07:41Z,СОБИРАЕМ НОВЫЙ БИЛД ЗА 10 МИРРОРОВ | PATH OF EXILE 2:Return of the Ancients,AgroMorph Highlights,https://www.youtube.com/watch?v=h0LZJ6Yhcow,2026-06-30T15:34:27Z,3691,294.01,294.01,3691,2026-07-01T04:07:41Z,3691
2026-07-01T04:07:41Z,Sağlam sezona sağlam drama! - Return of the Ancients - Path of Exile 2,Caner Jhonnie Güngörür,https://www.youtube.com/watch?v=--7qTXtvr0M,2026-06-30T07:59:36Z,5969,296.45,296.45,5969,2026-07-01T04:07:41Z,5969
2026-07-01T04:07:41Z,Path of Exile 2 | Final Day Of Upgrades! Pushing 100M DPS Twister Spirit Walker (PoE 2 0.5 Huntress),SiahZ,https://www.youtube.com/watch?v=fTKJkc8uKy4,2026-06-30T22:49:54Z,2065,344.17,344.17,2065,2026-07-01T04:07:41Z,2065
2026-07-01T04:07:41Z,Path of Exile 2 - Grim Pillars Build Guide with 4 Divines,OnesInTheChat,https://www.youtube.com/watch?v=dCFMABlcG0E,2026-06-30T14:30:08Z,5164,378.98,378.98,5164,2026-07-01T04:07:41Z,5164
2026-07-01T04:07:41Z,How I Make Mirrors Crafting in PoE2 - Ultimate Crafting Guide,Perra Gaming,https://www.youtube.com/watch?v=BpGPbpZDY9U,2026-06-30T09:41:23Z,7249,393.14,393.14,7249,2026-07-01T04:07:41Z,7249
2026-07-01T04:07:41Z,Belt Luck Continues #poe2 #pathofexile2,DEADRABB1T,https://www.youtube.com/watch?v=wMcfIgktJ14,2026-06-30T08:51:24Z,8740,453.52,453.52,8740,2026-07-01T04:07:41Z,8740
2026-07-01T04:07:41Z,This is a Life Changer for New Players! #pathofexile #gaming #pathofexile2,Nesiex,https://www.youtube.com/watch?v=9tD2v9w3xO4,2026-06-30T13:00:10Z,11312,747.88,747.88,11312,2026-07-01T04:07:41Z,11312
2026-07-01T04:07:41Z,🔥 5 Cool Path Of Exile 2 Community Builds To Check Out | Return of the Ancients 0.5 | S4 EP3,Jorgen,https://www.youtube.com/watch?v=qFguCfREZsU,2026-06-30T12:43:09Z,11911,772.98,772.98,11911,2026-07-01T04:07:41Z,11911
2026-07-01T04:07:41Z,КРАФТ ИМБА САМОЦВЕТОВ НА 5 МОДОВ В PATH OF EXILE 2 | АБУЗ ДЖЕВЕЛОВ НА 5 СТАТОВ | CRAFT 5 MOD JEWEL,Path of Exile 2 | PoE News,https://www.youtube.com/watch?v=mpzr2OXQ8bo,2026-06-30T13:00:22Z,13719,907.21,907.21,13719,2026-07-01T04:07:41Z,13719
2026-07-01T04:07:41Z,I Played Path of Exile 2 for 200 Hours... I get it now,TheoryWise,https://www.youtube.com/watch?v=MOBckpBrf_E,2026-06-30T13:30:27Z,14339,980.73,980.73,14339,2026-07-01T04:07:41Z,14339
